"Index","Land","Suizidrate","BIP","Kontinent"
"146","Somalia","4.7","296","Afrika"
"147","Spanien","8.7","26505","Europa"
"148","Sri Lanka","14.6","3886","Asien"
"149","Südafrika","11.6","5273","Afrika"
"150","Sudan","8.1","2398","Afrika"
"151","Suriname","22.8","5605","Südamerika"
"152","Swasiland","13.3","3448","Afrika"
"153","Tadschikistan","2.5","803","Asien"
"154","Tansania","5.4","966","Afrika"
"155","Thailand","14.4","5979","Asien"
"156","Togo","9.6","597","Afrika"
"157","Tonga","3.5","3966","Ozeanien"
"158","Trinidad und Tobago","13.6","16177","Nordamerika"
"159","Tschad","8.8","693","Afrika"
"160","Tschechien","13.1","18463","Europa"
"161","Tunesien","3.4","3698","Afrika"
"162","Türkei","7.3","10821","Asien"
"163","Turkmenistan","6.7","6390","Asien"
"164","Uganda","9.9","609","Afrika"
"165","Ukraine","22.4","2188","Europa"
"166","Ungarn","19.1","12992","Europa"
"167","Uruguay","18.4","15387","Südamerika"
"168","Usbekistan","7.4","2568","Asien"
"169","Vanuatu","4.5","2890","Ozeanien"
"170","Vereinigte Arabische Emirate","2.8","38142","Asien"
"171","Vereinigte Staaten","15.3","57928","Nordamerika"
"172","Vereinigtes Königreich","8.9","41064","Europa"
"173","Vietnam","7.3","2192","Asien"
"174","Weissrussland","26.2","5023","Europa"
"175","Zentralafrikanische Republik","7.7","402","Afrika"
"176","Republik Zypern","5.3","24533","Europa"
